state,sy_end,dataset,manifest_status,mapping_status,file_name,sheet_or_table,district_rows,district_id_col,subgroup_col,subgroup_black,subgroup_hispanic,subgroup_white,subject_col,subject_math,subject_rla,grade_col,hs_grade_or_course,tested_count_col,proficiency_rate_col,proficient_levels,suppression_symbols,notes
GA,2025,hs_reportcard_ga,hs_reportcard_ga=archived,mapped,hs_reportcards/GA/EOC_2024-25__GA_TST_AGGR_2026-02-19_00_31_27.csv,"csv (Georgia Milestones EOC, GOSA/GaDOE aggregate)",INSTN_NUMBER = ALL (district total); SCHOOL_DISTRCT_CD = ALL is the state row,SCHOOL_DISTRCT_CD (GaDOE 3-digit system code),SUBGROUP_NAME,Black or African American,Hispanic,White,TEST_CMPNT_TYP_NM,Algebra: Concepts and Connections,American Literature and Composition,(none; course-based),"End-of-course, any grade: Algebra: Concepts and Connections, American Literature and Composition",NUM_TESTED_CNT,PROFICIENT_PCT + DISTINGUISHED_PCT,Proficient Learner + Distinguished Learner,TFS (too few students),"ACDMC_LVL = ALL GRADES. Author decision 2026-09-16 (docs/deviations_run2.md, Section 4): Coordinate Algebra is pooled with Algebra I where present (2022-2024), with the counts."
IA,2022,hs_reportcard_ia,hs_reportcard_ia=archived,unavailable,hs_reportcards/IA/2021-2022 ISASP Proficiency Rates by District and Grade.xlsx,,,,,,,,,,,,ISASP grades 10-11 (test_replacement.csv),,,,,"Excluded (docs/deviations_run2.md, 2026-09-16): the ISASP proficiency workbooks carry no race or ethnicity group (district by grade, all students; sheets ELA, Math, Science). Archived as the record of the check."
IA,2023,hs_reportcard_ia,hs_reportcard_ia=archived,unavailable,hs_reportcards/IA/2022-2023 ISASP Proficiency Rates by District and Grade.xlsx,,,,,,,,,,,,ISASP grades 10-11 (test_replacement.csv),,,,,"Excluded (docs/deviations_run2.md, 2026-09-16): the ISASP proficiency workbooks carry no race or ethnicity group (district by grade, all students; sheets ELA, Math, Science). Archived as the record of the check."
IA,2024,hs_reportcard_ia,hs_reportcard_ia=archived,unavailable,hs_reportcards/IA/2023-2024 ISASP-DLM Proficiency Rates by District and Grade.xlsx,,,,,,,,,,,,ISASP grades 10-11 (test_replacement.csv),,,,,"Excluded (docs/deviations_run2.md, 2026-09-16): the ISASP proficiency workbooks carry no race or ethnicity group (district by grade, all students; sheets ELA, Math, Science). Archived as the record of the check."
IA,2025,hs_reportcard_ia,hs_reportcard_ia=archived,unavailable,hs_reportcards/IA/2024-25 ISASP-DLM Proficiency Rates by District and Grade.xlsx,,,,,,,,,,,,ISASP grades 10-11 (test_replacement.csv),,,,,"Excluded (docs/deviations_run2.md, 2026-09-16): the ISASP proficiency workbooks carry no race or ethnicity group (district by grade, all students; sheets ELA, Math, Science). Archived as the record of the check."
ID,2022,hs_reportcard_id_sde,hs_reportcard_id=unavailable; hs_reportcard_id_sde=archived,mapped,hs_reportcards/ID/2022-ISAT-Results.xlsx,sheet Districts; header row 3,,District Id (SDE 3-digit district number),Population,Black / African American,Hispanic or Latino,White,Subject Name,Math,ELA,Grade,High School (ISAT; no grade number printed),(none),Advanced Rate + Proficient Rate,Advanced + Proficient,NSIZE ; N/A ; <n and >n (redacted bounds),"Enters from the legacy SDE workbooks by author decision (docs/deviations_run2.md, 2026-09-16); the Idaho Report Card export rows hs_reportcard_id 2022-2024 are unavailable. Where the rate is a bound (<n, >n) the Section 5 midpoint rule applies only if the implied range is 10 points or less."
ID,2023,hs_reportcard_id_sde,hs_reportcard_id=unavailable; hs_reportcard_id_sde=archived,mapped,hs_reportcards/ID/2022-2023-ALL-STUDENTS-ISAT-By-Level-Aggregates.xlsx,sheet Districts (LEAs); header row 2,,DistrictId (SDE 3-digit district number),Population,Black / African American,Hispanic or Latino,White,SubjectName,Math,ELA,Grade,High School (ISAT; no grade number printed),ProficiencyDenominator,AdvancedRate + ProficientRate,Advanced + Proficient,NSIZE ; N/A ; <n and >n (redacted bounds),"Enters from the legacy SDE workbooks by author decision (docs/deviations_run2.md, 2026-09-16); the Idaho Report Card export rows hs_reportcard_id 2022-2024 are unavailable. Where the rate is a bound (<n, >n) the Section 5 midpoint rule applies only if the implied range is 10 points or less."
ID,2024,hs_reportcard_id_sde,hs_reportcard_id=unavailable; hs_reportcard_id_sde=archived,mapped,hs_reportcards/ID/2023-2024-ISAT-Assessment-Aggregates-All-Students-REDACTED.xlsx,sheet Districts; header row 1,,DistrictId (SDE 3-digit district number),Population,Black / African American,Hispanic or Latino,White,SubjectName,Math,ELA,Grade,High School (ISAT; no grade number printed),ProficiencyDenominator,AdvancedRate + ProficientRate,Advanced + Proficient,NSIZE ; N/A ; <n and >n (redacted bounds),"Enters from the legacy SDE workbooks by author decision (docs/deviations_run2.md, 2026-09-16); the Idaho Report Card export rows hs_reportcard_id 2022-2024 are unavailable. Where the rate is a bound (<n, >n) the Section 5 midpoint rule applies only if the implied range is 10 points or less."
ID,2025,hs_reportcard_id,hs_reportcard_id=unavailable,unavailable,,,,,,,,,,,,,High School (ISAT; no grade number printed),,,,,"Manifest row hs_reportcard_id 2025 is unavailable (docs/deviations_run2.md, 2026-09-16): no 2024-25 Idaho file crosses race with grade."
IL,2022,hs_reportcard_il,hs_reportcard_il=archived,mapped,hs_reportcards/IL/2022-Report-Card-Public-Data-Set.xlsx,"sheet SAT (wide: one row per school or district, one column per measure and group)",Type = District,RCDTS (ISBE region-county-district-type-school code; district rows end 0000),(column name),Black or African American,Hispanic or Latino,White,(column name),SAT Math,SAT Reading / SAT ELA,(none),Grade 11 (SAT School Day),# SAT Math Participation - <group>; # SAT ELA Participation - <group>,SAT Math Total <group> Students Level 3 % + Level 4 %; SAT Reading Total <group> Students Level 3 % + Level 4 %,Level 3 + Level 4 (ISBE SAT performance levels),blank,Counts exist in 2022 and 2023 only; in 2024 and 2025 the Section 5 floor falls back to Illinois's minimum group size.
IL,2023,hs_reportcard_il,hs_reportcard_il=archived,mapped,hs_reportcards/IL/23-RC-Pub-Data-Set.xlsx,"sheet SAT (wide: one row per school or district, one column per measure and group)",Type = District,RCDTS (ISBE region-county-district-type-school code; district rows end 0000),(column name),Black or African American,Hispanic or Latino,White,(column name),SAT Math,SAT Reading / SAT ELA,(none),Grade 11 (SAT School Day),# SAT Math Participation - <group>; # SAT ELA Participation - <group>,SAT Math Total <group> Students Level 3 % + Level 4 %; SAT Reading Total <group> Students Level 3 % + Level 4 %,Level 3 + Level 4 (ISBE SAT performance levels),blank,Counts exist in 2022 and 2023 only; in 2024 and 2025 the Section 5 floor falls back to Illinois's minimum group size.
IL,2024,hs_reportcard_il,hs_reportcard_il=archived,mapped,hs_reportcards/IL/24-RC-Pub-Data-Set.xlsx,"sheet SAT (wide: one row per school or district, one column per measure and group)",Type = District,RCDTS (ISBE region-county-district-type-school code; district rows end 0000),(column name),Black or African American,Hispanic or Latino,White,(column name),SAT Math,SAT Reading / SAT ELA,(none),Grade 11 (SAT School Day),(none; only % SAT Math/ELA Participation - <group>),SAT Math Proficiency Rate - <group>; SAT ELA Proficiency Rate - <group> (Level 3 % and Level 4 % columns also printed),Level 3 + Level 4 (ISBE SAT performance levels),*,Digital SAT. Counts exist in 2022 and 2023 only; in 2024 and 2025 the Section 5 floor falls back to Illinois's minimum group size.
IL,2025,hs_reportcard_il,hs_reportcard_il=archived,mapped,hs_reportcards/IL/2025-Report-Card-Public-Data-Set.xlsx,sheet ACT,Level = District,RCDTS,(column name),Black or African American,Hispanic or Latino,White,(column name),ACT Math,ACT ELA,(none),Grade 11 (ACT); PreACT 9 Secure and PreACT Secure grade 10 columns and a pooled 'HS Assessment' column are also printed,(none; only ACT Math/ELA Participation Rate Grade 11 - <group>),ACT Math Proficiency Rate Grade 11 - <group>; ACT ELA Proficiency Rate Grade 11 - <group>,proficient as published (ISBE ACT performance levels),*,ACT replaced the SAT as the grade 11 test (test_replacement.csv IL 2025 = 1). Counts exist in 2022 and 2023 only; in 2024 and 2025 the Section 5 floor falls back to Illinois's minimum group size.
IN,2022,hs_reportcard_in,hs_reportcard_in=archived,mapped,hs_reportcards/IN/SAT-2022-Grade11-Final-Corporation-v2.xlsx,sheets Math Demographics and EBRW Demographics; group header row 4 (5 in later files) above the measure header row,every row is a corporation (district),Corp ID (IDOE 4-digit corporation number),(column block under the group header row),Black,Hispanic,White,(sheet),Math Demographics,EBRW Demographics,(none; file title Grade 11),Grade 11 (SAT; junior cohort),Total Tested (in the group block),"Benchmark % (proportion, 0-1; At Benchmark / Total Tested)",At Benchmark,*** (fewer than 10 students),
IN,2023,hs_reportcard_in,hs_reportcard_in=archived,mapped,hs_reportcards/IN/SAT-2023-Grade11-Final-Corporation.xlsx,sheets Math Demographics and EBRW Demographics; group header row 4 (5 in later files) above the measure header row,every row is a corporation (district),Corp ID (IDOE 4-digit corporation number),(column block under the group header row),Black,Hispanic,White,(sheet),Math Demographics,EBRW Demographics,(none; file title Grade 11),Grade 11 (SAT; junior cohort),Total Tested (in the group block),"Benchmark % (proportion, 0-1; At Benchmark / Total Tested)",At Benchmark,*** (fewer than 10 students),
IN,2024,hs_reportcard_in,hs_reportcard_in=archived,mapped,hs_reportcards/IN/SAT-2024-Grade11-Corporation.xlsx,sheets Math Demographics and EBRW Demographics; group header row 4 (5 in later files) above the measure header row,every row is a corporation (district),Corp ID (IDOE 4-digit corporation number),(column block under the group header row),Black,Hispanic,White,(sheet),Math Demographics,EBRW Demographics,(none; file title Grade 11),Grade 11 (SAT; junior cohort),Total Tested (in the group block),"Benchmark % (proportion, 0-1; At Benchmark / Total Tested)",At Benchmark,*** (fewer than 10 students),Digital SAT.
IN,2025,hs_reportcard_in,hs_reportcard_in=archived,mapped,hs_reportcards/IN/SAT-2025-Grade11-Corporation_a.xlsx,sheets Math Demographics and EBRW Demographics; group header row 4 (5 in later files) above the measure header row,every row is a corporation (district),Corp ID (IDOE 4-digit corporation number),(column block under the group header row),Black,Hispanic,White,(sheet),Math Demographics,EBRW Demographics,(none; file title Grade 11),Grade 11 (SAT; junior cohort),Total Tested (in the group block),"Benchmark % (proportion, 0-1; At Benchmark / Total Tested)",At Benchmark,*** (fewer than 10 students),
KS,2022,hs_reportcard_ks,hs_reportcard_ks=archived,mapped,hs_reportcards/KS/2021_2022_Assessment_Full_File.xlsx,sheet 2022,Bldg. No. = 0 and Org. No. starting D0 (Organization/Building/State Name printed as 'D0xxx - name'),"Org. No. (KSDE USD number, D0xxx)",Group,African-American Students,Hispanic,White,Subject,Math,ELA,Grade,10th Grade (KAP),(none),Pct. Level 3 + Pct. Level 4,Level 3 + Level 4,none printed; small cells are withheld (row absent),No tested count in any year: the Section 5 floor falls back to Kansas's minimum group size. Pct. Not Tested is 0 throughout.
KS,2023,hs_reportcard_ks,hs_reportcard_ks=archived,mapped,hs_reportcards/KS/2022_2023_Assessment_Full_File.xlsx,sheet 2023,Building = *** District Totals ***,"Org. No. (KSDE USD number, D0xxx)",Student Subgroup,African-American Students,Hispanic,White,Subject,Math,ELA,Grade,10th Grade (KAP),(none),Pct. Level 3 + Pct. Level 4,Level 3 + Level 4,none printed; small cells are withheld (row absent),No tested count in any year: the Section 5 floor falls back to Kansas's minimum group size. Pct. Not Tested is 0 throughout.
KS,2024,hs_reportcard_ks,hs_reportcard_ks=archived,mapped,hs_reportcards/KS/2023_2024_Assessment_Full_File.xlsx,sheet 2024,Building = *** District Totals ***,"Org. No. (KSDE USD number, D0xxx)",Student Subgroup,African-American Students,Hispanic,White,Subject,Math,ELA,Grade,10th Grade (KAP),(none),Pct. Level 3 + Pct. Level 4,Level 3 + Level 4,none printed; small cells are withheld (row absent),No tested count in any year: the Section 5 floor falls back to Kansas's minimum group size. Pct. Not Tested is 0 throughout.
KS,2025,hs_reportcard_ks,hs_reportcard_ks=archived,mapped,hs_reportcards/KS/2024_2025_Assessment_Full_File.xlsx,sheet 2025,Building = *** District Totals ***,"Org. No. (KSDE USD number, D0xxx)",Student Subgroup,African-American Students,Hispanic,White,Subject,Math,ELA,Grade,10th Grade (KAP),(none),Pct. Level 3 + Pct. Level 4,Level 3 + Level 4,none printed; small cells are withheld (row absent),2025 is the revised KAP with new cut scores. No tested count in any year: the Section 5 floor falls back to Kansas's minimum group size. Pct. Not Tested is 0 throughout.
KY,2022,hs_reportcard_ky,hs_reportcard_ky=archived,mapped,hs_reportcards/KY/asmt_performance_by_grade_2022.csv,csv (KDE School Report Card assessment performance by grade),SCHOOL NAME = ---District Total---,DISTRICT NUMBER (KDE 3-digit district number),DEMOGRAPHIC,African American,Hispanic or Latino,White (non-Hispanic),SUBJECT,MA,RD,GRADE = 10,Grade 10 (Kentucky Summative Assessments),(none),PROFICIENT/DISTINGUISHED,Proficient + Distinguished,* (SUPPRESSED = Y); N/A,No tested count: the Section 5 floor falls back to Kentucky's minimum group size. The rows include students who took the alternate assessment (a separate 'Alternate Assessment' demographic is also printed).
KY,2023,hs_reportcard_ky,hs_reportcard_ky=archived,mapped,hs_reportcards/KY/asmt_performance_by_grade_2023.csv,csv (KDE School Report Card assessment performance by grade),SCHOOL NAME = ---District Total---,DISTRICT NUMBER (KDE 3-digit district number),DEMOGRAPHIC,African American,Hispanic or Latino,White (non-Hispanic),SUBJECT,MA,RD,GRADE = 10,Grade 10 (Kentucky Summative Assessments),(none),PROFICIENT/DISTINGUISHED,Proficient + Distinguished,* (SUPPRESSED = Y); N/A,754 rows carry SCHOOL YEAR 20022023 (a typo for 20222023). No tested count: the Section 5 floor falls back to Kentucky's minimum group size. The rows include students who took the alternate assessment (a separate 'Alternate Assessment' demographic is also printed).
KY,2024,hs_reportcard_ky,hs_reportcard_ky=archived,mapped,hs_reportcards/KY/KYRC24_ASMT_Kentucky_Summative_Assessment.csv,csv (KDE School Report Card assessment performance by grade),School Name = All Schools (School Type blank),District Number (KDE 3-digit district number),Demographic,African American,Hispanic or Latino,White (non-Hispanic),Subject,Mathematics,Reading,Grade = Grade 10,Grade 10 (Kentucky Summative Assessments),(none),Proficient / Distinguished,Proficient + Distinguished,* (Suppressed = Y); N/A,No tested count: the Section 5 floor falls back to Kentucky's minimum group size. The rows include students who took the alternate assessment (a separate 'Alternate Assessment' demographic is also printed).
KY,2025,hs_reportcard_ky,hs_reportcard_ky=archived,mapped,hs_reportcards/KY/KYRC25_ASMT_Kentucky_Summative_Assessment.csv,csv (KDE School Report Card assessment performance by grade),School Name = All Schools (School Type blank),District Number (KDE 3-digit district number),Demographic,African American,Hispanic or Latino,White (non-Hispanic),Subject,Mathematics,Reading,Grade = 10th,Grade 10 (Kentucky Summative Assessments),(none),Proficient / Distinguished,Proficient + Distinguished,* (Suppressed = Y); N/A,No tested count: the Section 5 floor falls back to Kentucky's minimum group size. The rows include students who took the alternate assessment (a separate 'Alternate Assessment' demographic is also printed).
LA,2022,hs_reportcard_la,hs_reportcard_la=archived,mapped,hs_reportcards/LA/2022-state-lea-school-leap-high-school-achievement-level-summary-with-subgroups.xlsx,sheet LEAP HS; header rows 4 (test) and 5 (measure); one column block per test,Summary Level = School System,School System Code (LDOE code),Subgroup,Black or African American,Hispanic/Latino,White,(column block under header row 4),Algebra I,English II,(none; course-based),"LEAP 2025 end-of-course Algebra I and English II, any grade",(none),% Advanced + % Mastery,Advanced + Mastery,NR ; < 5 ; > 95,A block level printed '< 5' or '> 95' makes the Advanced + Mastery sum a range; the midpoint rule applies to the summed range. English I and Geometry blocks are also printed.
LA,2023,hs_reportcard_la,hs_reportcard_la=archived,mapped,hs_reportcards/LA/2023-state-lea-leap-school--high-school-achievement-level-summary-with-subgroups.xlsx,sheet LEAP HS; header rows 4 (test) and 5 (measure); one column block per test,Summary Level = School System,School System Code (LDOE code),Subgroup,Black or African American,Hispanic/Latino,White,(column block under header row 4),Algebra I,English II,(none; course-based),"LEAP 2025 end-of-course Algebra I and English II, any grade",(none),% Advanced + % Mastery,Advanced + Mastery,NR ; < 5 ; > 95,A block level printed '< 5' or '> 95' makes the Advanced + Mastery sum a range; the midpoint rule applies to the summed range. English I and Geometry blocks are also printed.
LA,2025,hs_reportcard_la,hs_reportcard_la=archived,mapped,hs_reportcards/LA/2025-state-lea-school-leap-high-school-achievement-level-summary-with-subgroups.xlsx,sheet LEAP HS; header rows 4 (test) and 5 (measure); one column block per test,Summary Level = School System,School System Code (LDOE code),Subgroup,Black or African American,Hispanic/Latino,White,(column block under header row 4),Algebra I,English II,(none; course-based),"LEAP 2025 end-of-course Algebra I and English II, any grade","(none; # Expected to Participate is printed per test, with % Participation Rate)",% Advanced + % Mastery,Advanced + Mastery,NR ; < 5 ; > 95,A block level printed '< 5' or '> 95' makes the Advanced + Mastery sum a range; the midpoint rule applies to the summed range. English I and Geometry blocks are also printed.
MA,2022,hs_reportcard_ma,hs_reportcard_ma=archived,mapped,hs_reportcards/MA/i9w6-niyt_sy2022.csv,"csv (DESE MCAS district results, Socrata i9w6-niyt, one year)",every row is a district (org_type = Public School District),dist_code (DESE 8-digit organization code),stu_grp,Black or African American,Hispanic or Latino,White,subject_code,MATH,ELA,test_grade,10 (Next-Generation MCAS),stu_cnt,"m_plus_e_pct (proportion, 0-1)",Meeting + Exceeding Expectations,none printed; groups below DESE's reporting minimum are absent,
MA,2023,hs_reportcard_ma,hs_reportcard_ma=archived,mapped,hs_reportcards/MA/i9w6-niyt_sy2023.csv,"csv (DESE MCAS district results, Socrata i9w6-niyt, one year)",every row is a district (org_type = Public School District),dist_code (DESE 8-digit organization code),stu_grp,Black or African American,Hispanic or Latino,White,subject_code,MATH,ELA,test_grade,10 (Next-Generation MCAS),stu_cnt,"m_plus_e_pct (proportion, 0-1)",Meeting + Exceeding Expectations,none printed; groups below DESE's reporting minimum are absent,
MA,2024,hs_reportcard_ma,hs_reportcard_ma=archived,mapped,hs_reportcards/MA/i9w6-niyt_sy2024.csv,"csv (DESE MCAS district results, Socrata i9w6-niyt, one year)",every row is a district (org_type = Public School District),dist_code (DESE 8-digit organization code),stu_grp,Black or African American,Hispanic or Latino,White,subject_code,MATH,ELA,test_grade,10 (Next-Generation MCAS),stu_cnt,"m_plus_e_pct (proportion, 0-1)",Meeting + Exceeding Expectations,none printed; groups below DESE's reporting minimum are absent,
MA,2025,hs_reportcard_ma,hs_reportcard_ma=archived,mapped,hs_reportcards/MA/i9w6-niyt_sy2025.csv,"csv (DESE MCAS district results, Socrata i9w6-niyt, one year)",every row is a district (org_type = Public School District),dist_code (DESE 8-digit organization code),stu_grp,Black or African American,Hispanic or Latino,White,subject_code,MATH,ELA,test_grade,10 (Next-Generation MCAS),stu_cnt,"m_plus_e_pct (proportion, 0-1)",Meeting + Exceeding Expectations,none printed; groups below DESE's reporting minimum are absent,
MI,2022,hs_reportcard_mi; hs_reportcard_mi_math; hs_reportcard_mi_rla,hs_reportcard_mi=archived; hs_reportcard_mi_math=archived; hs_reportcard_mi_rla=archived,unavailable,hs_reportcards/MI/hs_MI_2022_all.csv | hs_reportcards/MI/hs_MI_2022_math.csv | hs_reportcards/MI/hs_MI_2022_ela.csv,,,,,,,,,,,,SAT grade 11 (test_replacement.csv),,,,,"Unavailable (docs/deviations_run2.md, 2026-09-16): the High School Assessments file holds only MI-Access for grade-11 ELA and mathematics; the SAT cross-tabulated files give race only crossed with sex, English learner status or disability, with no race-alone row, no all-students row and no tested count. All twelve files are archived as the record of the check."
MI,2023,hs_reportcard_mi; hs_reportcard_mi_math; hs_reportcard_mi_rla,hs_reportcard_mi=archived; hs_reportcard_mi_math=archived; hs_reportcard_mi_rla=archived,unavailable,hs_reportcards/MI/hs_MI_2023_all.csv | hs_reportcards/MI/hs_MI_2023_math.csv | hs_reportcards/MI/hs_MI_2023_ela.csv,,,,,,,,,,,,SAT grade 11 (test_replacement.csv),,,,,"Unavailable (docs/deviations_run2.md, 2026-09-16): the High School Assessments file holds only MI-Access for grade-11 ELA and mathematics; the SAT cross-tabulated files give race only crossed with sex, English learner status or disability, with no race-alone row, no all-students row and no tested count. All twelve files are archived as the record of the check."
MI,2024,hs_reportcard_mi; hs_reportcard_mi_math; hs_reportcard_mi_rla,hs_reportcard_mi=archived; hs_reportcard_mi_math=archived; hs_reportcard_mi_rla=archived,unavailable,hs_reportcards/MI/hs_MI_2024_all.csv | hs_reportcards/MI/hs_MI_2024_math.csv | hs_reportcards/MI/hs_MI_2024_ela.csv,,,,,,,,,,,,SAT grade 11 (test_replacement.csv),,,,,"Unavailable (docs/deviations_run2.md, 2026-09-16): the High School Assessments file holds only MI-Access for grade-11 ELA and mathematics; the SAT cross-tabulated files give race only crossed with sex, English learner status or disability, with no race-alone row, no all-students row and no tested count. All twelve files are archived as the record of the check."
MI,2025,hs_reportcard_mi; hs_reportcard_mi_math; hs_reportcard_mi_rla,hs_reportcard_mi=archived; hs_reportcard_mi_math=archived; hs_reportcard_mi_rla=archived,unavailable,hs_reportcards/MI/hs_MI_2025_all.csv | hs_reportcards/MI/hs_MI_2025_math.csv | hs_reportcards/MI/hs_MI_2025_ela.csv,,,,,,,,,,,,SAT grade 11 (test_replacement.csv),,,,,"Unavailable (docs/deviations_run2.md, 2026-09-16): the High School Assessments file holds only MI-Access for grade-11 ELA and mathematics; the SAT cross-tabulated files give race only crossed with sex, English learner status or disability, with no race-alone row, no all-students row and no tested count. All twelve files are archived as the record of the check."
MN,2022,hs_reportcard_mn_math; hs_reportcard_mn_rla,hs_reportcard_mn_math=archived; hs_reportcard_mn_rla=archived,mapped,hs_reportcards/MN/2022PublicMCAMTASMath.xlsx | hs_reportcards/MN/2022PublicMCAMTASReading.xlsx,sheet District (one workbook per subject),every row of sheet District,District Number + District Type (MDE district number and type),Student Group (Group Category = Federal Race/Ethnicity),Black or African American students,Hispanic or Latino students,White students,Subject (file),MATH (Math in 2025),Reading,Grade,Mathematics grade 11; Reading grade 10 (MCA-III with MTAS),Total Tested (Count Valid Scores MCA + Count Valid Scores MTAS),"Percent Proficient (proportion, 0-1)",Meets (M) + Exceeds (E),Filter All = Y with count and percent cells 'no data' (2022-2023) or blank (2024-2025),"2022 carries both a Federal and a State Race/Ethnicity category; Black, Hispanic and White rows are under Federal Race/Ethnicity. From 2023 only State Race/Ethnicity is printed, where American Indian students of any ethnicity are counted as American Indian, so the Black, Hispanic and White groups are defined slightly differently from 2023. MCA and MTAS are pooled in Total Tested and Percent Proficient, as EDFacts pools regular and alternate results."
MN,2023,hs_reportcard_mn_math; hs_reportcard_mn_rla,hs_reportcard_mn_math=archived; hs_reportcard_mn_rla=archived,mapped,hs_reportcards/MN/PublicMCAMTASMath2023.xlsx | hs_reportcards/MN/PublicMCAMTASReading2023.xlsx,sheet District (one workbook per subject),every row of sheet District,District Number + District Type (MDE district number and type),Student Group (Group Category = State Race/Ethnicity),Black or African American students,Hispanic or Latino students,White students,Subject (file),MATH (Math in 2025),Reading,Grade,Mathematics grade 11; Reading grade 10 (MCA-III with MTAS),Total Tested (Count Valid Scores MCA + Count Valid Scores MTAS),"Percent Proficient (proportion, 0-1)",Meets (M) + Exceeds (E),Filter All = Y with count and percent cells 'no data' (2022-2023) or blank (2024-2025),"MCA and MTAS are pooled in Total Tested and Percent Proficient, as EDFacts pools regular and alternate results."
MN,2024,hs_reportcard_mn_math; hs_reportcard_mn_rla,hs_reportcard_mn_math=archived; hs_reportcard_mn_rla=archived,mapped,hs_reportcards/MN/PublicMCAMTASMath2024.xlsx | hs_reportcards/MN/PublicMCAMTASReading2024.xlsx,sheet District (one workbook per subject),every row of sheet District,District Number + District Type (MDE district number and type),Student Group (Group Category = State Race/Ethnicity),Black or African American students,Hispanic or Latino students,White students,Subject (file),MATH (Math in 2025),Reading,Grade,Mathematics grade 11; Reading grade 10 (MCA-III with MTAS),Total Tested (Count Valid Scores MCA + Count Valid Scores MTAS),"Percent Proficient (proportion, 0-1)",Meets (M) + Exceeds (E),Filter All = Y with count and percent cells 'no data' (2022-2023) or blank (2024-2025),"MCA and MTAS are pooled in Total Tested and Percent Proficient, as EDFacts pools regular and alternate results."
MN,2025,hs_reportcard_mn_math; hs_reportcard_mn_rla,hs_reportcard_mn_math=archived; hs_reportcard_mn_rla=archived,mapped,hs_reportcards/MN/MCAMTAS_Math_Public_Oct2025.xlsx | hs_reportcards/MN/MCAMTAS_Reading_Public_Oct2025.xlsx,sheet District (one workbook per subject),every row of sheet District,District Number + District Type (MDE district number and type),Student Group (Group Category = State Race/Ethnicity),Black or African American students,Hispanic or Latino students,White students,Subject (file),MATH (Math in 2025),Reading,Grade,Mathematics grade 11; Reading grade 10 (MCA-III with MTAS),Total Tested (Count Valid Scores MCA + Count Valid Scores MTAS),"Percent Proficient (proportion, 0-1)",Meets (M) + Exceeds (E),Filter All = Y with count and percent cells 'no data' (2022-2023) or blank (2024-2025),"Test Name reads 'All Standards-Based (MCA/MTAS/ALTMCA)'. MCA and MTAS are pooled in Total Tested and Percent Proficient, as EDFacts pools regular and alternate results."
MO,2022,hs_reportcard_mo,hs_reportcard_mo=archived,mapped,hs_reportcards/MO/District -- content area and grade all and disag 2022.xlsx,sheet Sheet1 (DESE MCDS district file),SUMMARY_LEVEL = District (every row; SCHOOL_CODE 0),COUNTY_DISTRICT (DESE 6-digit county-district code; printed without the leading zero from 2022 except 2023),TYPE (CATEGORY = Race/Ethnicity),Black (not Hispanic),Hispanic,White (not Hispanic),CONTENT_AREA,Mathematics,Eng. Language Arts,GRADE_LEVEL,"A1 (Algebra I end-of-course) and E2 (English II end-of-course), any grade",REPORTABLE (ACCOUNTABLE also printed),PROFICIENT_PCT + ADVANCED_PCT,Proficient + Advanced,*,2022 names the not-determined columns NON-PARTICIPANT(LND). A '*' in PROFICIENT_PCT or ADVANCED_PCT (a small cell) leaves the sum unknown even when the other is printed; PROFICIENT + ADVANCED counts over REPORTABLE give the same rate when both counts are printed.
MO,2023,hs_reportcard_mo,hs_reportcard_mo=archived,mapped,hs_reportcards/MO/2023 District_content area and grade all and disag.xlsx,sheet Sheet1 (DESE MCDS district file),SUMMARY_LEVEL = District (every row; SCHOOL_CODE 0),COUNTY_DISTRICT (DESE 6-digit county-district code; printed without the leading zero from 2022 except 2023),TYPE (CATEGORY = Race/Ethnicity),Black (not Hispanic),Hispanic,White (not Hispanic),CONTENT_AREA,Mathematics,Eng. Language Arts,GRADE_LEVEL,"A1 (Algebra I end-of-course) and E2 (English II end-of-course), any grade",REPORTABLE (ACCOUNTABLE also printed),PROFICIENT_PCT + ADVANCED_PCT,Proficient + Advanced,*,A '*' in PROFICIENT_PCT or ADVANCED_PCT (a small cell) leaves the sum unknown even when the other is printed; PROFICIENT + ADVANCED counts over REPORTABLE give the same rate when both counts are printed.
MO,2024,hs_reportcard_mo,hs_reportcard_mo=archived,mapped,hs_reportcards/MO/2024 District_content area and grade all and disag.xlsx,sheet Sheet1 (DESE MCDS district file),SUMMARY_LEVEL = District (every row; SCHOOL_CODE 0),COUNTY_DISTRICT (DESE 6-digit county-district code; printed without the leading zero from 2022 except 2023),TYPE (CATEGORY = Race/Ethnicity),Black (not Hispanic),Hispanic,White (not Hispanic),CONTENT_AREA,Mathematics,Eng. Language Arts,GRADE_LEVEL,"A1 (Algebra I end-of-course) and E2 (English II end-of-course), any grade",REPORTABLE (ACCOUNTABLE also printed),PROFICIENT_PCT + ADVANCED_PCT,Proficient + Advanced,*,A '*' in PROFICIENT_PCT or ADVANCED_PCT (a small cell) leaves the sum unknown even when the other is printed; PROFICIENT + ADVANCED counts over REPORTABLE give the same rate when both counts are printed.
